Rank,Name,Industry,Revenue(M),Revenue growth,Employees,Headquarters,Cluster
1,Walmart,Retail,648125,6.0,2100000,"Bentonville, Arkansas",1
2,Amazon,Retail and cloud computing,574785,11.9,1525000,"Seattle, Washington",1
3,Apple,Electronics industry,383482,-2.8,161000,"Cupertino, California",0
4,UnitedHealth Group,Healthcare,371622,14.6,440000,"Minnetonka, Minnesota",0
5,Berkshire Hathaway,Conglomerate,364482,20.7,396500,"Omaha, Nebraska",0
6,CVS Health,Healthcare,357776,10.9,259500,"Woonsocket, Rhode Island",0
7,ExxonMobil,Petroleum industry,344582,-16.7,61500,"Spring, Texas",2
8,Alphabet,Technology and cloud computing,307394,8.7,182502,"Mountain View, California",0
9,McKesson Corporation,Health,276711,4.8,48000,"Irving, Texas",2
10,Cencora,Pharmacy wholesale,262173,9.9,44000,"Conshohocken, Pennsylvania",2
11,Costco,Retail,242290,6.8,316000,"Issaquah, Washington",0
12,JPMorgan Chase,Financial services,239425,54.7,309926,"New York City, New York",0
13,Microsoft,Technology and cloud computing,211915,6.9,221000,"Redmond, Washington",0
14,Cardinal Health,Healthcare,205012,13.0,47520,"Dublin, Ohio",2
15,Chevron Corporation,Petroleum industry,200949,-18.4,45600,"Houston, Texas",2
16,Cigna,Health insurance,195265,8.2,71413,"Bloomfield, Connecticut",2
17,Ford Motor Company,Automotive industry,176191,11.5,177000,"Dearborn, Michigan",0
18,Bank of America,Financials,171912,49.4,212985,"Charlotte, North Carolina",0
19,General Motors,Automotive industry,171842,9.6,163000,"Detroit, Michigan",0
20,Elevance Health,Healthcare,171340,9.4,104900,"Indianapolis, Indiana",2
21,Citigroup,Financials,156820,55.1,237925,"New York City, New York",0
22,Centene,Healthcare,153999,6.5,67700,"St. Louis, Missouri",2
23,The Home Depot,Retail,152669,-3.0,463100,"Atlanta, Georgia",0
24,Marathon Petroleum,Petroleum industry,150307,-16.5,18200,"Findlay, Ohio",2
25,Kroger,Retail,150039,-3.6,414000,"Cincinnati, Ohio",0
26,Phillips 66,Petroleum industry,149890,-14.7,14000,"Houston, Texas",2
27,Fannie Mae,Financials,141240,16.2,8100,"Washington, D.C.",2
28,Walgreens Boots Alliance,Pharmaceutical industry,139081,4.8,268500,"Deerfield, Illinois",0
29,Valero Energy,Petroleum industry,139001,-18.8,9987,"San Antonio, Texas",2
30,Meta Platforms,Technology,134902,15.7,67317,"Menlo Park, California",2
31,Verizon Communications,Telecommunications,133974,-2.1,105400,"New York City, New York",2
32,AT&T,Conglomerate and telecommunications,122428,1.4,150470,"Dallas, Texas",2
33,Comcast,Telecommunications,121572,0.1,186000,"Philadelphia, Pennsylvania",0
34,Wells Fargo,Financials,115340,39.2,226000,"San Francisco, California",0
35,Goldman Sachs,Financials,108418,57.8,45300,"New York City, New York",2
36,Freddie Mac,Financials,108050,24.6,8020,"McLean, Virginia",2
37,Target Corporation,Retail,107412,-1.6,415000,"Minneapolis, Minnesota",0
38,Humana,Health insurance,106374,14.5,67600,"Louisville, Kentucky",2
39,State Farm,Financials,104199,16.6,65054,"Bloomington, Illinois",2
40,Tesla,Automotive and energy,96773,18.8,140473,"Austin, Texas",2
41,Morgan Stanley,Financials,96194,45.9,80006,"New York City, New York",2
42,Johnson & Johnson,Pharmaceutical industry,95195,0.3,131900,"New Brunswick, New Jersey",2
43,Archer Daniels Midland,Food industry,93935,-7.5,41008,"Chicago, Illinois",2
44,PepsiCo,Beverage,91471,5.9,318000,"Purchase, New York",0
45,United Parcel Service,Transportation,90958,-9.3,382550,"Atlanta, Georgia",0
46,FedEx,Transportation,90155,-3.6,446400,"Memphis, Tennessee",0
47,The Walt Disney Company,Media,88898,7.5,199125,"Burbank, California",0
48,Dell Technologies,Technology,88425,-13.6,120000,"Round Rock, Texas",2
49,Lowe's,Retail,86377,-11.0,226000,"Mooresville, North Carolina",0
50,Procter & Gamble,Consumer products manufacturing,82006,2.3,107000,"Cincinnati, Ohio",2
51,Energy Transfer Partners,Petroleum industry,78586,-12.6,13786,"Dallas, Texas",2
52,Boeing,Aerospace and defense,77794,16.8,171000,"Arlington County, Virginia",2
53,Albertsons,Retail,77650,8.0,198650,"Boise, Idaho",0
54,Sysco,Food service,76325,11.2,71750,"Houston, Texas",2
55,RTX Corporation,Conglomerate,68920,2.8,185000,"Arlington County, Virginia",2
56,General Electric,Conglomerate,67954,-11.2,125000,"Boston, Massachusetts",2
57,Lockheed Martin,Aerospace and defense,67571,2.4,122000,"Bethesda, Maryland",2
58,American Express,Financial,67364,21.1,74600,"New York City, New York",2
59,Caterpillar,Machinery,67060,12.8,113200,"Irving, Texas",2
60,MetLife,Financials,66905,-4.3,45000,"New York City, New York",2
61,HCA Healthcare,Healthcare,64968,7.9,265000,"Nashville, Tennessee",0
62,Progressive Corporation,Insurance,62109,25.2,61432,"Mayfield Village, Ohio",2
63,IBM,Technology and cloud computing,61860,-16.3,296600,"Armonk, New York",0
64,John Deere,Agriculture manufacturing,61251,16.5,82956,"Moline, Illinois",2
65,Nvidia,Technology,60922,125.9,29600,"Santa Clara, California",2
66,StoneX Group,Financials,60856,-7.8,4137,"New York City, New York",2
67,Merck & Co.,Pharmaceutical industry,60115,1.4,71000,"Kenilworth, New Jersey",2
68,ConocoPhillips,Petroleum industry,58574,-28.7,9900,"Houston, Texas",2
69,Pfizer,Pharmaceutical industry,58496,-41.7,88000,"New York City, New York",2
70,Delta Air Lines,Airline,58048,14.8,103000,"Atlanta, Georgia",2
71,TD Synnex,Infotech,57555,-7.7,28000,"Clearwater, Florida",2
72,Publix,Retail,57534,4.7,253000,"Lakeland, Florida",0
73,Allstate,Insurance,57094,11.1,53200,"Northfield Township, Cook County, Illinois",2
74,Cisco,Telecom hardware manufacturing,56998,10.6,84900,"San Jose, California",2
75,Nationwide Mutual Insurance Company,Financial,54609,6.1,24118,"Columbus, Ohio",2
76,Charter Communications,Telecommunications,54607,1.1,101100,"Stamford, Connecticut",2
77,AbbVie,Pharmaceutical industry,54317,-6.4,50000,"Lake Bluff, Illinois",2
78,New York Life Insurance Company,Insurance,54317,14.2,15384,"New York City, New York",2
79,Intel,Technology,54228,-14.0,124800,"Santa Clara, California",2
80,TJX,Retail,49936,2.9,329000,"Framingham, Massachusetts",0
81,Prudential Financial,Financials,53979,-10.1,40366,"Newark, New Jersey",2
82,HP,Technology,53718,-14.5,58000,"Palo Alto, California",2
83,United Airlines,Airline,53717,19.5,103300,"Chicago, Illinois",2
84,Performance Food Group,Food processing,53355,13.1,34825,"Richmond, Virginia",2
85,Tyson Foods,Food processing,52788,-0.8,139000,"Springdale, Arkansas",2
86,American Airlines,Airline,52788,7.8,132100,"Fort Worth, Texas",2
87,Liberty Mutual,Insurance,52612,5.3,45000,"Boston, Massachusetts",2
88,Nike,Apparel,51217,9.6,83700,"Beaverton, Oregon",2
89,Oracle Corporation,Technology,49954,17.7,164000,"Austin, Texas",2
90,Enterprise Products,Petroleum industry,49715,-14.6,7500,"Houston, Texas",2
91,Capital One Financial,Financials,49484,29.0,51987,"Richmond, Virginia",2
92,Plains All American Pipeline,Petroleum industry,48712,-15.1,4200,"Houston, Texas",2
93,World Kinect Corporation,Energy trading,47711,-19.2,5289,"Doral, Florida",2
94,AIG,Insurance,46802,-17.1,25200,"New York City, New York",2
95,Coca-Cola,Beverage,45754,6.4,79100,"Atlanta, Georgia",2
96,TIAA,Financials,45735,11.8,16023,"New York City, New York",2
97,CHS,Agriculture cooperative,45590,-4.6,10609,"Inver Grove Heights, Minnesota",2
98,Bristol-Myers Squibb,Pharmaceutical industry,45006,-2.5,34100,"New York City, New York",2
99,Dow Chemical Company,Chemical industry,44622,-21.6,35900,"Midland, Michigan",2
100,Best Buy,Retail,43452,-6.1,85000,"Richfield, Minnesota",2
